,station id,station latitude,station longitude,County
1032,82,40.71117416,-74.00016545,New York
1047,343,40.69794,-73.96986848,New York
1080,267,40.75097711,-73.98765428,New York
1083,440,40.75255434,-73.97282625,New York
1128,3097,40.71921585,-73.94244690000001,Kings County
1137,276,40.71748752,-74.0104554,New York
1151,339,40.72580614,-73.97422494,New York
1157,315,40.70355377,-74.00670227,New York County
1184,321,40.69991755,-73.98971773,Kings County
1215,525,40.75594159,-74.0021163,New York
1223,2002,40.716887,-73.96319799999999,Kings County
1245,3115,40.73232194,-73.9550858,Kings County
1267,3057,40.69128258,-73.9452416,Kings County
1294,341,40.71782143,-73.97628939,New York County
1317,534,40.70255065,-74.0127234,New York
1330,460,40.71285887,-73.96590294,Kings County
1336,362,40.75172632,-73.98753523,New York
1350,522,40.75714758,-73.97207836,New York
1370,157,40.69089272,-73.99612349,Kings County
1375,342,40.71739973,-73.98016555,New York
1376,241,40.68981035,-73.97493121,Kings County
1411,3098,40.71928,-73.94861,Kings County
1419,262,40.6917823,-73.97372990000001,Kings County
1422,427,40.701907,-74.013942,New York County
1439,167,40.7489006,-73.97604882,New York
1491,471,40.71286844,-73.95698119,Kings County
1512,513,40.768254,-73.988639,New York
1530,356,40.71622644,-73.98261206,New York
1554,289,40.684568299999995,-73.95881081,Kings County
1556,516,40.75206862,-73.96784384,New York
1567,3104,40.72057658,-73.96150225,Kings County
1571,3068,40.7031724,-73.940636,Kings County
1576,247,40.73535398,-74.00483091,New York
1619,419,40.69580705,-73.97355569,Kings County
1656,119,40.69608941,-73.97803415,Kings County
1657,406,40.69512845,-73.99595065,Kings County
1672,375,40.72679454,-73.99695094,New York
1712,3124,40.74731,-73.95451,Queens County
1713,275,40.68650065,-73.96563307,Kings County
1725,3072,40.70583339,-73.94644578,Kings County
1788,2010,40.72165481,-74.00234737,New York
1819,3049,40.68488,-73.96304,Kings County
1823,3129,40.75110165,-73.94073717,Queens County
1827,3180,40.69878,-73.99712,New York County
1835,79,40.71911552,-74.00666661,New York
1852,501,40.744219,-73.97121214,New York
1901,354,40.69363137,-73.96223558,Kings County
1971,310,40.68926942,-73.98912867,Kings County
2040,3125,40.74708586,-73.94977234,Queens County
2117,330,40.71450451,-74.00562789,New York
2147,337,40.703799200000006,-74.00838676,New York
2161,2023,40.75968085,-73.97031366,New York
2171,260,40.70365182,-74.01167797,New York
2203,258,40.68940747,-73.96885458,Kings County
2257,421,40.69573398,-73.97129668,Kings County
2277,508,40.76341379,-73.99667444,New York
2423,384,40.683048,-73.964915,Kings County
2424,243,40.688226,-73.979382,Kings County
2623,244,40.69196035,-73.96536851,Kings County
2644,400,40.71926081,-73.98178024,New York
2674,3102,40.72179134,-73.95041540000001,Kings County
2677,153,40.752062306999996,-73.9816324043,New York
2707,152,40.71473993,-74.00910627,New York
2748,309,40.7149787,-74.013012,New York
2781,3070,40.70510918,-73.94407279,Kings County
2804,3113,40.730259999999994,-73.95394,Kings County
2825,3050,40.6851532,-73.94111,Kings County
2976,3083,40.71247661,-73.94100005,Kings County
3017,520,40.75992262,-73.97648516,New York
3063,373,40.69331716,-73.95381995,Kings County
3069,217,40.70277159,-73.99383605,Kings County
3075,436,40.68216564,-73.95399026,Kings County
3083,2001,40.699773,-73.979927,United States
3148,3123,40.74469738,-73.93540375,Queens County
3188,456,40.75971079999999,-73.97402311,New York
3265,266,40.72368361,-73.97574813,New York
3280,3130,40.75325964,-73.94335788,Queens County
3347,3067,40.7016657,-73.9437303,Kings County
3483,484,40.75500254,-73.98014437,New York
3499,3060,40.69425403,-73.94626915,Kings County
3704,390,40.69221589,-73.9842844,Kings County
3713,216,40.70037867,-73.99548059,New York
3743,3121,40.74524768,-73.94733276,Queens County
3777,218,40.69028437,-73.98707105,Kings County
3893,3052,40.686312,-73.935775,Kings County
3971,3054,40.6894932,-73.942061,Kings County
4017,365,40.68223166,-73.9614583,Kings County
4041,3108,40.725570000000005,-73.94434,Kings County
4222,398,40.69165183,-73.99997859999999,Kings County
4254,3091,40.71764,-73.94882,Kings County
4264,420,40.68764484,-73.96968902,Kings County
4408,314,40.69383,-73.990539,New York
4901,249,40.71870987,-74.0090009,New York
4968,245,40.69327018,-73.97703874,Kings County
5140,3095,40.71929301,-73.94500379,New York
